car name,engine_capacity,cylinder,horse_power,top_speed,seats,price_in_usd
Subaru XV 2021 1.6L Luxury,2.5,4.0,114.0,175.0,5.0,10168.221739331826
King Long Wide Body Passenger Van 2021 2.7L (14-Seater),2.5,4.0,148.0,156.0,14.0,4188.928741891503
Citroen C4 Grand Picasso 2021 1.6T,2.5,4.0,165.0,210.0,7.0,47106.8754254595
Mini Hatch 2021 5-Door Cooper,2.5,3.0,136.0,207.0,5.0,12083.448293917796
Subaru XV 2021 1.6L Full option,2.5,4.0,114.0,175.0,5.0,8557.095300142786
King Long Wide Body Passenger Van 2021 2.7L (14-Seater) Top,2.5,4.0,148.0,156.0,14.0,4571.5712711989
BMW 4 Series Gran Coupe 2021 420i,2.5,4.0,184.0,236.0,4.0,47106.8754254595
Subaru XV 2021 1.6L Premium,2.5,4.0,114.0,175.0,5.0,9463.353922186621
Hyundai Tucson 2021 1.6L GLS TLe Plus,2.5,4.0,130.0,170.0,5.0,9463.353922186621
Peugeot 508 2021 1.6T Allure,2.5,4.0,165.0,220.0,5.0,10671.6987515784
Mercedes-Benz GLA 2021 200,2.5,4.0,163.0,210.0,5.0,15003.61496494793
Kia Sorento 2021 3.3L Top (AWD),2.5,6.0,290.0,200.0,7.0,47106.8754254595
Chevrolet Tahoe 2021 Premium 2WD,2.5,4.0,355.0,172.0,8.0,47106.8754254595
Seat Ateca 2021 1.4T FR,2.5,4.0,150.0,198.0,5.0,11680.666684120537
Honda Civic 2021 1.6L VTI Highline,2.5,4.0,123.0,200.0,5.0,9243.837944847115
Peugeot 508 2021 1.6T Active,2.5,4.0,165.0,220.0,5.0,9866.13553198388
Seat Ateca 2021 1.4T Style Plus,2.5,4.0,150.0,198.0,5.0,10170.235647380812
Hyundai H1 2021 2.5 GLS M/T (12-seater),2.5,4.0,99.0,170.0,12.0,47106.8754254595
Mini Countryman 2021 Cooper S,2.5,4.0,189.0,222.0,5.0,15104.310367397245
BMW 3 Series 2021 320i,2.5,4.0,184.0,240.0,5.0,18125.172440876697
BMW X1 2021 sDrive20i (m sport package),2.5,4.0,192.0,225.0,5.0,16111.264391890396
Hyundai Tucson 2021 1.6L GLS TLe (Full Option),2.5,4.0,130.0,170.0,5.0,9966.830934433196
BMW X1 2021 sDrive20i (xLine),2.5,4.0,192.0,225.0,5.0,14097.356342904097
Skoda Superb 2021 1.4 TSI Sport line,2.5,4.0,150.0,220.0,5.0,12989.706915961631
Hyundai Tucson 2022 1.6L T-GDI Advanced MHEV (AWD),2.5,4.0,180.0,200.0,5.0,11579.971281671222
BMW 2 Series Convertible 2021 220i,2.5,4.0,184.0,226.0,4.0,47106.8754254595
Seat Ateca 2021 1.4T Experience,2.5,4.0,150.0,198.0,5.0,11479.275879221907
BMW 2 Series Convertible 2021 230i,2.5,4.0,252.0,250.0,4.0,47106.8754254595
Hyundai Tucson 2021 1.6 T-GDI TLe Topline (FWD),2.5,4.0,175.0,200.0,5.0,10470.307946679772
Hyundai Tucson 2022 1.6L T-GDI Smart Plus MHEV (AWD),2.5,4.0,180.0,200.0,5.0,9868.149440032867
Hyundai Tucson 2021 1.6L T-GDI TLe Midline (FWD),2.5,4.0,175.0,200.0,5.0,9463.353922186621
Mercedes-Benz C-Class 2021 C 180,2.5,4.0,156.0,207.0,5.0,16715.436806586287
Hyundai Tucson 2022 1.6L T-GDI Premium MHEV (AWD),2.5,4.0,180.0,200.0,5.0,12385.534501265742
Skoda Superb 2021 1.4 TSI Ambition,2.5,4.0,150.0,220.0,5.0,11781.362086569852
Hyundai Tucson 2021 1.6 T-GDI TLe Limited (FWD),2.5,4.0,175.0,200.0,5.0,11376.566568723605
Hyundai Tucson 2022 1.6L T-GDI Modern MHEV (AWD),2.5,4.0,180.0,200.0,5.0,10573.017257178071
Skoda Superb 2021 1.4 TSI Dynamic,2.5,4.0,150.0,220.0,5.0,10472.321854728758
Hyundai Tucson 2022 1.6L T-GDI Smart MHEV (AWD),2.5,4.0,180.0,200.0,5.0,9263.977025336977
Audi A4 2021 40 TFSI S-line Plus (190 HP),2.5,4.0,190.0,240.0,5.0,18729.344855572584
Nissan Pathfinder 2022 3.5L SL 4WD,2.5,6.0,271.0,190.0,7.0,47106.8754254595
BMW 5 Series 2021 520i,2.5,4.0,184.0,235.0,5.0,24166.896587835592
Kia Grand Carnival 2021 3.5L GDI SXL,2.5,6.0,290.0,210.0,7.0,47106.8754254595
Mercedes-Benz CLA-Class 2021 CLA 180,2.5,4.0,136.0,201.0,5.0,14399.44255025204
Jaguar XF 2021 2.0T SE (250 PS),2.5,4.0,247.0,244.0,5.0,27187.75866131504
BMW X4 2021 xDrive 30i,2.5,4.0,252.0,240.0,5.0,30208.62073479449
Mercedes-Benz CLA-Class 2021 CLA 200,2.5,4.0,163.0,201.0,5.0,16413.35059923834
Mitsubishi Pajero 2021 3.8L GLS 5 Door high,2.5,6.0,250.0,200.0,7.0,47106.8754254595
Nissan Pathfinder 2022 3.5L SV 4WD,2.5,6.0,271.0,190.0,7.0,47106.8754254595
Jaguar XF 2021 2.0T R-Dynamic SE (250 PS) AWD,2.5,4.0,250.0,244.0,5.0,30007.22992989586
Mitsubishi Pajero 2021 3.0L GLS 5 Door Mid,2.5,6.0,177.0,180.0,7.0,47106.8754254595
Audi A4 2021 40 TFSI S-line (190 HP),2.5,4.0,190.0,240.0,5.0,17923.781635978066
Honda CR-V 2021 1.5T EX (2WD),2.5,4.0,188.0,200.0,5.0,47106.8754254595
Jaguar XF 2021 2.0T R-Dynamic SE (250 PS),2.5,4.0,250.0,244.0,5.0,27993.321880909563
Mercedes-Benz S-Class 2021 S 450,2.5,6.0,367.0,250.0,5.0,65854.793201852
Mercedes-Benz V Class 2021 Exclusive,2.5,4.0,350.0,211.0,9.0,33028.092003375314
Aston Martin Vantage 2021 4.0T V8,2.5,8.0,503.0,314.0,2.0,95660.63232684923
Maserati Ghibli 2021 3.0T V6,2.5,6.0,350.0,267.0,5.0,47106.8754254595
Mercedes-Benz V Class 2021 Avantgarde,2.5,4.0,350.0,211.0,9.0,26986.36785641641
Land Rover Range Rover 2021 5.0L V8 Autobiography LWB (525 PS),2.5,8.0,525.0,250.0,4.0,47106.8754254595
Audi Q7 2021 40 TFSI Premium Quattro (252 HP),2.5,4.0,252.0,210.0,5.0,31719.051771534218
Maserati Quattroporte 2021 3.0T V6 S,2.5,6.0,430.0,285.0,5.0,47106.8754254595
Land Rover Range Rover Sport 2021 5.0L V8 SVR (575 PS),2.5,8.0,575.0,280.0,5.0,47106.8754254595
Maserati Levante 2021 3.0T V6,2.5,6.0,350.0,251.0,5.0,47106.8754254595
Jaguar F-Type Coupe 2021 2.0T R-Dynamic (300 PS),2.5,4.0,300.0,250.0,2.0,34035.04602786846
Land Rover Range Rover 2021 5.0L V8 Autobiography (525 PS),2.5,8.0,525.0,225.0,5.0,47106.8754254595
Jeep Grand Cherokee 2021 Limited 5.7L,2.5,8.0,350.0,181.0,5.0,23159.942563342443
Aston Martin Rapide AMR 2021 6.0L V12,2.5,12.0,590.0,330.0,4.0,47106.8754254595
Mercedes-Benz S-Class 2021 S 560,2.5,8.0,469.0,250.0,5.0,80354.93115455334
Maserati GranCabrio 2021 4.7L V8 Sport,2.5,8.0,460.0,288.0,4.0,47106.8754254595
Porsche Cayenne Coupe 2021 GTS,2.5,6.0,440.0,261.0,5.0,61120.39746489255
Bentley Flying Spur 2021 4.0T V8,2.5,8.0,542.0,318.0,5.0,199578.28765454228
Porsche Cayenne Coupe 2021 Base,2.5,6.0,340.0,243.0,5.0,44637.46634256173
Porsche Cayenne 2021 E-Hybrid,2.5,6.0,462.0,253.0,5.0,47106.8754254595
Bentley Bentayga 2021 6.0L W12,2.5,12.0,600.0,301.0,5.0,185279.54050673955
Bentley Continental GT Convertible 2021 V8,2.5,8.0,542.0,301.0,4.0,213877.034802345
Porsche 911 2021 Carrera Cabriolet,2.5,6.0,385.0,289.0,4.0,60231.76053827735
Bentley Continental GT 2021 4.0T V8,2.5,8.0,542.0,318.0,4.0,205217.23019170391
Maserati GranTurismo 2021 4.7L V8 Sport,2.5,8.0,460.0,299.0,4.0,47106.8754254595
Porsche Cayenne 2021 Base,2.5,6.0,340.0,245.0,5.0,47106.8754254595
Maserati Quattroporte 2021 3.0T V6,2.5,6.0,350.0,270.0,5.0,47106.8754254595
BMW 7 Series 2021 740Li,2.5,6.0,326.0,250.0,5.0,52361.609273643786
Porsche Cayenne Coupe 2021 S,2.5,6.0,440.0,263.0,5.0,54234.54375920104
Porsche 911 2021 Carrera,2.5,6.0,385.0,291.0,4.0,53923.596356437556
Porsche Panamera 2021 3.0L 4 Executive,2.5,6.0,325.0,265.0,4.0,62121.00767903139
Bentley Mulsanne 2021 6.75L V8,2.5,8.0,505.0,296.0,5.0,47106.8754254595
Porsche 911 2021 Carrera S,2.5,6.0,450.0,308.0,4.0,47106.8754254595
Porsche Panamera 2021 4 E-Hybrid,2.5,6.0,462.0,278.0,4.0,64362.487337553146
Porsche 911 2021 Targa 4,2.5,6.0,350.0,280.0,4.0,74443.8290836517
Porsche Panamera 2021 4S Executive,2.5,6.0,435.0,289.0,4.0,70638.63038141404
Porsche Panamera 2021 Turbo,2.5,8.0,550.0,306.0,4.0,95390.97003908995
Porsche 911 2021 Carrera 4S,2.5,6.0,450.0,306.0,4.0,47106.8754254595
Porsche Cayenne Coupe 2021 Turbo,2.5,8.0,550.0,286.0,5.0,79380.40104964888
Porsche Panamera 2021 4 E-Hybrid Executive,2.5,6.0,462.0,278.0,4.0,68365.12958491342
Porsche 911 2021 Carrera S Cabriolet,2.5,6.0,450.0,306.0,2.0,47106.8754254595
Porsche Panamera 2021 Base,2.5,6.0,330.0,264.0,4.0,54435.934564099676
Porsche Panamera 2021 4S,2.5,6.0,440.0,289.0,4.0,64074.297095743204
Porsche 911 2021 Carrera 4S Cabriolet,2.5,6.0,450.0,304.0,2.0,47106.8754254595
Porsche Panamera 2021 3.0L 4,2.5,6.0,325.0,265.0,4.0,56677.414222621424
Ford Bronco 2021 2.7T Outer Banks,2.7,6.0,542.0,211.0,6.0,47106.8754254595
Honda HR-V 2021 1.8 i-VTEC LX,1.8,4.0,140.0,190.0,5.0,47106.8754254595
Peugeot Expert 2021 Van L3 A/T,2.0,4.0,120.0,170.0,5.0,25252.659574468085
JAC S4 2021 1.5T Ultimate,1.5,4.0,147.0,170.0,5.0,14880.31914893617
Honda HR-V 2021 1.8 i-VTEC DX,1.8,4.0,140.0,190.0,5.0,17284.574468085106
Ford Bronco 2021 2.3T Big Bend,2.3,4.0,420.0,211.0,7.0,47106.8754254595
Honda HR-V 2021 1.8 i-VTEC EX,1.8,4.0,140.0,190.0,5.0,21808.510638297874
Fiat 500e 2021 La Prima,0.0,4.0,255.0,211.0,5.0,47106.8754254595
Genesis GV80 2021 3.5T Royal (AWD),3.5,6.0,530.0,211.0,5.0,47106.8754254595
Peugeot Expert 2021 Combi L3 A/T (6 seater),2.0,4.0,120.0,170.0,6.0,27912.23404255319
Volkswagen Golf GTI 2021 2.0T S,2.0,4.0,245.0,210.0,5.0,42550.53191489362
Toyota Highlander 2021 2.5L Hybrid Limited (AWD),2.5,4.0,255.0,211.0,7.0,45212.765957446805
Lincoln Aviator 2021 3.0T V6 Base,3.0,6.0,400.0,250.0,7.0,47106.8754254595
Lincoln Aviator 2021 3.0T V6 Reserve II,3.0,6.0,400.0,250.0,7.0,47106.8754254595
Lincoln Aviator 2021 3.0T V6 Presidential,3.0,6.0,400.0,250.0,7.0,47106.8754254595
Toyota Highlander 2021 2.5L Hybrid GLE (AWD),2.5,4.0,255.0,211.0,7.0,47106.8754254595
Lincoln Aviator 2021 3.0T V6 Reserve,3.0,6.0,400.0,250.0,7.0,47106.8754254595
Toyota Highlander 2021 2.5L Hybrid LE (FWD),2.5,4.0,255.0,211.0,7.0,47106.8754254595
Hyundai Palisade 2021 3.8L GDi (AWD) Premium,3.8,6.0,355.0,211.0,7.0,43882.97872340425
Chevrolet Corvette 2021 6.2L 3LT Coupe,6.2,8.0,495.0,312.0,2.0,114361.70212765958
Toyota Corolla 2021 2.0L GLI Moonroof,2.0,4.0,168.0,200.0,5.0,23736.702127659573
MG HS 2021 2.0T Luxury (AWD),2.0,4.0,231.0,210.0,5.0,23734.042553191488
Toyota Corolla 2021 1.6L XLI,1.6,4.0,121.0,190.0,5.0,17872.340425531915
Toyota Supra 2021 3.0T Blue Limited Edition,3.0,6.0,382.0,250.0,2.0,55851.063829787236
Toyota Corolla 2021 2.0L XLI,2.0,4.0,168.0,200.0,5.0,19827.127659574468
Chevrolet Corvette 2021 6.2L 2LT Convertible,6.2,8.0,495.0,312.0,2.0,47106.8754254595
Toyota Corolla 2021 1.8L XLI Hybrid,1.8,4.0,121.0,190.0,5.0,23457.44680851064
Toyota Supra 2021 3.0T GR,3.0,6.0,382.0,250.0,2.0,55292.55319148936
Hyundai Palisade 2021 3.8L GDi GLS Luxury (AWD),3.8,6.0,355.0,211.0,7.0,46125.0
Porsche Taycan 2021 4S,0.0,4.0,255.0,211.0,5.0,47106.8754254595
Kia Sportage 2021 2.4L GDI EX (AWD),2.4,4.0,184.0,185.0,5.0,47106.8754254595
Volkswagen Passat 2021 2.5L Trendline,2.5,4.0,170.0,190.0,5.0,27922.872340425532
Lotus Evija 2021 2000 kW (Type 130),0.0,4.0,1973.0,320.0,2.0,2206143.6170212766
Mini SE EV 2021 135KW ALL4 (181 HP),0.0,4.0,255.0,211.0,5.0,47106.8754254595
Mercedes-Benz GLB 2021 250 4MATIC,0.0,4.0,224.0,236.0,5.0,47106.8754254595
Kia Sportage 2021 1.6L LX (FWD),1.6,4.0,132.0,181.0,5.0,19933.510638297874
Mercedes-Benz EQV 2021 6 seater,0.0,4.0,255.0,211.0,6.0,47106.8754254595
Kia Sportage 2021 2.0L MPI EX (AWD),2.0,4.0,155.0,181.0,5.0,47106.8754254595
Volkswagen Passat 2021 2.5L Highline,2.5,4.0,170.0,190.0,5.0,33244.68085106383
Kia Soul 2021 2.0L MPI A/T,2.0,4.0,152.0,211.0,10.0,15944.148936170213
Volkswagen Passat 2021 2.5L Comfortline,2.5,4.0,170.0,190.0,5.0,29787.23404255319
Porsche Taycan 2021 Turbo,0.0,4.0,255.0,211.0,5.0,47106.8754254595
Mercedes-Benz GLB 2021 AMG 35 4MATIC,0.0,4.0,306.0,250.0,5.0,47106.8754254595
Porsche Taycan 2021 Turbo S,0.0,4.0,255.0,211.0,5.0,47106.8754254595
Ford Escort 2021 1.5L Ambient,1.5,3.0,120.0,184.0,5.0,15957.446808510638
Kia Pegas 2021 1.4L MPI,1.4,4.0,95.0,170.0,5.0,11954.787234042553
McLaren GT 2021 4.0T V8 Coupe,0.0,8.0,620.0,326.0,5.0,47106.8754254595
Great Wall Wingle 7 2021 2.0T Double Cabin (4x4),2.0,4.0,315.0,211.0,15.0,18614.36170212766
Great Wall Wingle 6 2021 2.4L Double Cabin (4x4),2.4,4.0,200.0,211.0,15.0,18085.106382978724
Great Wall Wingle 6 2021 2.4L Single Cabin (4x2),2.4,4.0,200.0,211.0,15.0,15422.872340425532
Hyundai Kona 2021 2.0L Limited,2.0,4.0,150.0,194.0,5.0,21542.55319148936
Kia Niro 2021 1.6L HEV,1.6,4.0,139.0,172.0,5.0,26582.44680851064
Kia Pegas 2021 1.4L MPI Top,1.4,4.0,95.0,170.0,5.0,13297.872340425532
Lincoln Nautilus 2021 2.7T V6 Reserve (335 Hp),2.7,6.0,335.0,250.0,5.0,47106.8754254595
Lincoln Nautilus 2021 2.0T (250 Hp),2.0,6.0,250.0,230.0,5.0,53178.1914893617
Lexus UX 200 2021 F Sport Platinum,2.0,4.0,169.0,180.0,4.0,49202.12765957447
Lexus UX 200 2021 Premier,2.0,4.0,169.0,180.0,4.0,44122.34042553192
Hyundai Kona 2021 1.6L Turbo SEL,1.6,4.0,175.0,205.0,5.0,47106.8754254595
Lincoln Nautilus 2021 2.7T V6 Select (335 Hp),2.7,6.0,335.0,250.0,5.0,61170.21276595745
GAC GS7 2021 2.0T GL,2.0,4.0,201.0,200.0,5.0,23936.17021276596
Peugeot 508 2021 1.6T Active+,1.6,4.0,180.0,230.0,5.0,29242.021276595744
Peugeot 508 2021 1.6T GT Line,1.6,4.0,165.0,220.0,5.0,35890.95744680851
GAC GS7 2021 2.0T GE,2.0,4.0,201.0,200.0,5.0,22207.44680851064
Maxus D90 2021 2.0T Executive Luxury (4WD),2.0,4.0,225.0,175.0,7.0,27127.659574468085
Ferrari 812 GTS 2021 6.5L V12,6.5,12.0,718.0,211.0,3.0,377792.55319148937
Mitsubishi Spacestar 2021 1.2L GLS HL,1.2,3.0,78.0,173.0,5.0,11170.212765957447
McLaren 600LT 2021 3.8T V8 Coupe,0.0,8.0,592.0,328.0,5.0,47106.8754254595
Mazda CX-30 2021 2.0L Classic 4x2,2.0,4.0,155.0,192.0,5.0,23936.17021276596
Mazda CX-30 2021 2.0L Urban AWD,2.0,4.0,155.0,192.0,5.0,29255.31914893617
Maxus D90 2021 2.0T Elite (2WD),2.0,4.0,225.0,185.0,7.0,23922.872340425532
Ferrari SF90 Stradale 2021 4.0T V8 Plug-in-Hybrid,4.0,8.0,25.0,211.0,5.0,482127.6595744681
McLaren Senna 2021 4.0T V8 Coupe,4.0,8.0,800.0,335.0,2.0,1357712.7659574468
Jetour X70 2021 1.5T Comfort,1.5,4.0,156.0,180.0,7.0,18603.723404255317
MG 6 2021 1.5T LUX,1.5,4.0,169.0,180.0,5.0,19545.212765957447
Audi RS Q8 2021 4.0 TFSI V8 Quattro,4.0,8.0,600.0,250.0,5.0,47106.8754254595
Jetour X90 2021 1.6T Luxury,1.6,4.0,194.0,185.0,7.0,22593.08510638298
Ferrari Roma 2021 3.9T V8,3.9,8.0,620.0,320.0,4.0,47106.8754254595
Audi e-tron Sportback 2021 50 (71 kWh) Quattro,0.0,4.0,255.0,211.0,5.0,47106.8754254595
Ferrari F8 Tributo 2021 3.9T V8,3.9,8.0,710.0,340.0,2.0,256835.10638297873
Lincoln Crosair 2021 2.0T Base,2.0,4.0,245.0,211.0,7.0,43869.68085106383
Peugeot 508 2021 1.6T GT,1.6,4.0,225.0,220.0,5.0,37220.744680851065
Toyota Supra 2021 2.0T GR,2.0,4.0,255.0,250.0,2.0,47473.40425531915
Great Wall Wingle 7 2021 2.0T Double Cabin (4x4) (Leather),2.0,4.0,315.0,211.0,15.0,19946.808510638297
Ferrari F8 Spider 2021 3.9T V8,3.9,8.0,710.0,340.0,2.0,284042.55319148937
Audi e-tron Sportback 2021 55 (95 kWh) Quattro,0.0,4.0,255.0,211.0,5.0,47106.8754254595
Lincoln Crosair 2021 2.0T Reserve,2.0,4.0,245.0,211.0,7.0,47872.34042553192
Toyota C HR 2021 1.8L VX Hybrid,1.8,4.0,121.0,170.0,5.0,25970.744680851065
Hyundai Ioniq 5 2022 EV 72.6 kWh,0.0,4.0,255.0,211.0,5.0,47106.8754254595
Peugeot 508 2021 1.6T Allure+,1.6,4.0,165.0,220.0,5.0,33231.382978723406
Toyota Corolla Cross 2021 1.8L XL (HEV),1.8,4.0,255.0,211.0,5.0,30438.82978723404
Peugeot 2008 2021 1.2T (130HP) Allure+,1.2,3.0,130.0,200.0,5.0,25518.617021276597
McLaren 765LT 2021 4.0T V8,4.0,8.0,755.0,330.0,2.0,409574.4680851064
Volkswagen Golf R 2021 2.0 TSI AWD,2.0,4.0,315.0,250.0,5.0,47106.8754254595
Hyundai Ioniq 5 2022 EV 58 kWh,0.0,4.0,255.0,185.0,5.0,47106.8754254595
Peugeot 508 2021 1.6T GT (S),1.6,4.0,217.0,220.0,5.0,38550.53191489362
Peugeot 2008 2021 1.2T (155HP) GT,1.2,3.0,155.0,208.0,5.0,27912.23404255319
Peugeot 2008 2021 1.6L (115HP) Active+,1.6,4.0,115.0,200.0,5.0,21263.297872340427
Jetour X90 2021 1.6T Standard,1.6,4.0,194.0,185.0,7.0,21263.297872340427
Maserati MC20 2021 3.0T V6,3.0,6.0,630.0,325.0,2.0,47106.8754254595
Peugeot 2008 2021 1.6L (115HP) Allure+,1.6,4.0,115.0,200.0,5.0,22859.042553191488
MG GT 2022 1.5T Comfort,1.5,4.0,173.0,215.0,5.0,47106.8754254595
Chery Tiggo8 Pro 2021 2.0T Comfort,2.0,4.0,170.0,200.0,7.0,20797.872340425532
Geely Tugella 2021 2.0T GL (4WD),2.0,4.0,238.0,211.0,6.0,47106.8754254595
Chery Tiggo8 Pro 2021 1.6T GDI Flagship,1.6,4.0,185.0,200.0,7.0,24255.31914893617
Chery Tiggo8 Pro 2021 1.6T GDI Intelligent,1.6,4.0,185.0,200.0,7.0,25585.106382978724
MG GT 2022 1.5L Standard,1.5,4.0,118.0,185.0,5.0,47106.8754254595
BAIC A115 Hatchback 2021 1.5L Basic,1.5,4.0,113.0,170.0,5.0,9840.425531914894
Great Wall Wingle 5 2021 2.2L Double Cabin Standard,2.2,4.0,105.0,140.0,5.0,15691.489361702128
MG GT 2022 1.5T Luxury,1.5,4.0,173.0,215.0,5.0,47106.8754254595
BAIC A115 Hatchback 2021 1.5L Fashion,1.5,4.0,113.0,170.0,5.0,11170.212765957447
Kia Picanto 2021 1.2L Base,1.2,4.0,84.0,161.0,5.0,11954.787234042553
Kia Picanto 2021 1.2L Top,1.2,4.0,84.0,161.0,5.0,13829.787234042553
BAIC A115 Hatchback 2021 1.5L Comfort,1.5,4.0,113.0,170.0,5.0,10372.340425531915
Mitsubishi Attrage 2021 1.2 GLX (Base),1.2,3.0,76.0,170.0,5.0,10638.297872340425
Great Wall Wingle 5 2021 2.2L Single Cabin Standard,2.2,4.0,105.0,140.0,2.0,13827.127659574468
Chery Arrizo 3 2021 1.5L Baisc,1.5,4.0,107.0,175.0,5.0,10625.0
Hyundai Accent 2021 1.4L Base,1.4,4.0,100.0,183.0,5.0,14095.744680851063
Suzuki Dzire 2021 1.2L GLX,1.2,4.0,82.0,170.0,5.0,11968.08510638298
Bestune B50 2021 1.6L Elegant,1.6,4.0,107.0,162.0,5.0,13563.829787234043
Skoda Fabia 2021 1.0 TSI Active,1.0,3.0,110.0,195.0,5.0,16223.404255319148
Foton Tunland 2021 2.4L Double Cabin (4X2),2.4,4.0,136.0,160.0,5.0,14893.617021276596
Suzuki Ertiga 2021 1.5L GL,1.5,4.0,103.0,170.0,7.0,12765.95744680851
Foton Tunland 2021 2.4L Single Cabin (4X2),2.4,4.0,136.0,160.0,2.0,13295.212765957447
Honda City 2021 1.5L DX,1.5,4.0,119.0,190.0,5.0,47106.8754254595
Suzuki Baleno 2021 1.4L GL,1.4,4.0,91.0,170.0,5.0,12765.95744680851
Kia Rio Sedan 2021 1.6L MPI,1.6,4.0,123.0,183.0,5.0,15146.27659574468
Suzuki Baleno 2021 1.4L GLX,1.4,4.0,91.0,170.0,5.0,13297.872340425532
Ford Figo 2021 1.5L Ambiente H/B,1.5,4.0,110.0,175.0,5.0,13297.872340425532
Peugeot 301 2021 1.6L Access,1.6,4.0,115.0,188.0,5.0,15944.148936170213
Peugeot Partner 2021 1.6L K9 (Long),1.6,4.0,110.0,211.0,11.0,17273.936170212764
Peugeot 301 2021 1.6L Allure,1.6,4.0,115.0,180.0,5.0,18603.723404255317
Honda City 2021 1.5L LX,1.5,4.0,119.0,190.0,5.0,47106.8754254595
Hyundai Creta 2021 1.5L,1.5,4.0,144.0,211.0,12.0,17156.91489361702
Ford Figo 2021 1.5L Trend H/B,1.5,4.0,110.0,175.0,5.0,15159.574468085106
Renault Megane 2021 1.6L PE,1.6,4.0,115.0,180.0,5.0,15904.255319148937
Chery Tiggo7 2021 2.0L Comfort,2.0,4.0,121.0,165.0,5.0,16742.021276595744
Honda City 2021 1.5L LX Sport,1.5,4.0,119.0,190.0,5.0,47106.8754254595
King Long Panel Van 2021 2.3L Standard,2.2,4.0,102.0,120.0,2.0,15159.574468085106
Hyundai Creta 2021 1.6L Basic,1.6,4.0,121.0,169.0,5.0,17156.91489361702
Suzuki Ertiga 2021 1.5L GLX,1.5,4.0,103.0,170.0,7.0,13563.829787234043
SsangYong Tivoli 2021 1.5T GDI Base (FWD),1.5,4.0,163.0,211.0,12.0,23936.17021276596
Chevrolet Trax 2021 1.8L LT FWD,1.8,4.0,140.0,180.0,5.0,47106.8754254595
Fiat 500 2021 1.4L Hatch POP,1.4,4.0,100.0,182.0,4.0,17287.23404255319
Hyundai Accent 2021 1.6L Mid Option,1.6,4.0,130.0,193.0,5.0,17154.255319148935
Toyota Avanza 2021 1.5L GLS (commercial),1.5,4.0,102.0,180.0,2.0,16755.31914893617
Honda City 2021 1.5L EX,1.5,4.0,119.0,190.0,5.0,47106.8754254595
Mitsubishi L200 2021 2.4L Single Cab GL (2WD),2.4,4.0,128.0,169.0,3.0,15957.446808510638
Ford EcoSport 2021 1.5 Trend,1.5,4.0,120.0,170.0,5.0,16622.340425531915
Renault Captur 2021 1.6L PE,1.6,4.0,156.0,211.0,12.0,19534.574468085106
Kia Cerato Hatchback 2021 2.0L Base,2.0,4.0,150.0,190.0,5.0,20731.382978723403
Toyota Yaris Sedan 2021 1.5L SE,1.5,4.0,105.0,175.0,5.0,16489.36170212766
Toyota Hilux 2021 2.0L Single Cab 4x2,2.0,4.0,134.0,170.0,3.0,19547.872340425532
Haval H2 2021 1.5T Intelligent,1.5,4.0,148.0,170.0,5.0,15422.872340425532
Peugeot 208 2021 Active Plus,1.6,4.0,120.0,180.0,5.0,21263.297872340427
Kia Rio Hatchback 2021 1.6L MPI,1.6,4.0,123.0,190.0,5.0,15146.27659574468
Peugeot 208 2021 1.6L GT Line,1.6,4.0,115.0,190.0,5.0,23922.872340425532
Haval H6 2021 Intelligent,2.0,4.0,197.0,170.0,5.0,18082.44680851064
Nissan Navara 2021 2.5L ASF 4x2 M/T,2.5,4.0,158.0,160.0,6.0,22859.042553191488
Kia Rio Hatchback 2021 1.6L MPI Highline,1.6,4.0,123.0,190.0,5.0,17819.14893617021
Hyundai Creta 2021 1.6L Mid,1.6,4.0,121.0,169.0,5.0,21077.127659574468
Hyundai Accent 2021 1.6L High,1.6,4.0,123.0,193.0,5.0,18617.021276595744
Nissan Kicks 2021 1.6 SV,1.6,4.0,118.0,180.0,5.0,47106.8754254595
Toyota Yaris 2021 1.5L SE+ (Hatchback),1.5,4.0,106.0,175.0,5.0,16196.808510638299
Haval H2 2021 1.5T Luxury,1.5,4.0,148.0,170.0,5.0,18617.021276595744
Nissan Kicks 2021 1.6 SV Dual Tone,1.6,4.0,118.0,180.0,5.0,47106.8754254595
Mitsubishi ASX 2021 2.0L GLX (2WD),2.0,4.0,150.0,193.0,5.0,18617.021276595744
Honda Civic 2021 1.6L LX Sport,1.6,4.0,123.0,200.0,5.0,47106.8754254595
SsangYong Tivoli 2021 1.6L Mid Option (FWD),1.6,4.0,125.0,160.0,5.0,18085.106382978724
Haval H6 2021 Supreme Panoramic,2.0,4.0,197.0,170.0,5.0,21808.510638297874
Hyundai Elantra 2021 2.0L Base,2.0,4.0,150.0,205.0,5.0,17284.574468085106
Fiat 500 2021 1.4L Hatch Lounge,1.4,4.0,100.0,182.0,4.0,19946.808510638297
Mitsubishi Eclipse Cross 2022 1.5T GLX,1.5,4.0,147.0,180.0,5.0,47106.8754254595
Maxus G10 Cargo 2021 2.4L Cargo Van,2.4,4.0,140.0,160.0,2.0,19946.808510638297
Hyundai Creta 2021 1.6L Top,1.6,4.0,121.0,169.0,5.0,22348.40425531915
Ford EcoSport 2021 1.5 Titanium,1.5,4.0,120.0,170.0,5.0,47106.8754254595
Hyundai Tucson 2021 2.0L Standard (FWD),2.0,4.0,153.0,170.0,5.0,25893.617021276597
Nissan Kicks 2021 1.6 SL,1.6,4.0,118.0,180.0,5.0,19933.510638297874
