car name,engine_capacity,cylinder,horse_power,top_speed,seats,price_in_usd
Volvo S90 2021 T6 AWD Inscription,2.0,4.0,320.0,250.0,5.0,47106.8754254595
Volvo S60 2021 2.0T T5 Inscription (AWD),1.7,4.0,250.0,240.0,5.0,50666.666666666664
Volvo S90 2021 T6 AWD R Design,2.0,4.0,320.0,250.0,5.0,47106.8754254595
Volvo S90 2021 T5 FWD Momentum,2.0,4.0,254.0,230.0,5.0,47106.8754254595
Volvo XC60 2021 2.0T T5 AWD R Design,2.0,4.0,254.0,220.0,5.0,60101.333333333336
Porsche Taycan 2021 Turbo,0.0,4.0,255.0,211.0,5.0,47106.8754254595
Nissan Kicks 2021 1.6 S,1.6,4.0,118.0,180.0,5.0,16000.0
Ford Escort 2021 1.5L Ambient,1.5,3.0,120.0,184.0,5.0,21413.333333333332
McLaren GT 2021 4.0T V8 Coupe,0.0,8.0,620.0,326.0,5.0,47106.8754254595
Volvo XC60 2021 2.0T T6 AWD Inscription,2.0,4.0,320.0,230.0,5.0,64288.0
Kia Niro 2021 1.6L HEV,1.6,4.0,139.0,172.0,5.0,32447.733333333334
Kia Pegas 2021 1.4L MPI Top,1.4,4.0,95.0,170.0,5.0,47106.8754254595
Nissan GT-R 2021 Track Edition,3.8,6.0,600.0,350.0,4.0,47106.8754254595
Toyota Rush 2021 1.5L GX,1.5,4.0,103.0,175.0,7.0,20485.333333333332
Kia Pegas 2021 1.4L MPI,1.4,4.0,95.0,170.0,5.0,47106.8754254595
Nissan GT-R 2021 Nismo,3.8,6.0,600.0,350.0,4.0,47106.8754254595
Hyundai Santa Fe 2021 3.5L Mid (AWD),3.5,6.0,363.0,211.0,7.0,35170.666666666664
Changan CS95 2021 2.0T Classic (7-Seater) FWD,2.0,4.0,233.0,185.0,7.0,28182.666666666668
Great Wall Wingle 7 2021 2.0T Double Cabin (4x4),2.0,4.0,315.0,211.0,15.0,19311.733333333334
Hyundai Santa Fe 2021 3.5L High (AWD),3.5,6.0,363.0,211.0,7.0,38104.0
Changan CS95 2021 2.0T Royal (7-Seater) AWD,2.0,4.0,233.0,190.0,7.0,33702.666666666664
Great Wall Wingle 5 2021 2.2L Single Cabin Standard,2.2,4.0,105.0,140.0,2.0,13178.4
Hyundai Santa Fe 2021 2.4L GL Panorama (FWD),2.4,4.0,226.0,211.0,10.0,28000.0
Hyundai Santa Fe 2021 3.5L Base (AWD),3.5,6.0,363.0,211.0,7.0,32530.666666666668
Great Wall Wingle 7 2021 2.0T Single Cabin (RWD),2.0,4.0,315.0,211.0,15.0,17165.066666666666
Hyundai Santa Fe 2021 3.5L Limited (AWD),3.5,6.0,363.0,211.0,7.0,43266.666666666664
Kia K900 2021 5.0L GDI V8,5.0,8.0,505.0,211.0,5.0,82266.93333333333
Kia Cerato 2021 1.6L LX,1.6,4.0,128.0,190.0,5.0,16866.666666666668
Kia K900 2021 3.8L GDI V6,3.8,6.0,400.0,211.0,5.0,57226.4
Mercedes-Benz G-Class 2021 G63,4.0,8.0,585.0,220.0,5.0,184531.73333333334
BMW X5 2021 40i xDrive,3.0,6.0,340.0,243.0,5.0,113960.0
Mercedes-Benz G-Class 2021 G500,4.0,8.0,422.0,250.0,5.0,134076.0
Rolls Royce Cullinan 2021 6.75L Twin-Turbo (563 HP),6.7,12.0,850.0,211.0,6.0,379600.0
Audi A7 Sportback 2021 55 TFSI quattro (340 HP),3.0,6.0,340.0,250.0,5.0,111173.33333333333
BMW 8 Series Coupe 2021 M850i xDrive,4.4,8.0,523.0,250.0,4.0,159866.66666666666
BMW X5 2021 50i xDrive,4.4,6.0,462.0,243.0,5.0,139157.33333333334
Audi Q8 2021 55 TFSI quattro (340 HP),3.0,6.0,340.0,250.0,5.0,93866.66666666667
Infiniti QX50 2021 2.0T Autograph (AWD),2.0,4.0,268.0,230.0,5.0,68518.13333333333
Mercedes-Benz AMG GT 4-Door Coupe 2021 63 S 4MATIC+,4.0,8.0,639.0,310.0,4.0,234666.66666666666
Kia Cerato 2021 1.6L SX,1.6,4.0,128.0,190.0,5.0,18186.666666666668
RAM 1500 2021 5.7L Big Horn (Regular Cab),5.7,8.0,395.0,175.0,5.0,47106.8754254595
Chrysler Pacifica 2021 3.6L V6 Touring L,3.6,6.0,355.0,211.0,11.0,47106.8754254595
Porsche Macan 2021 S,3.0,6.0,354.0,254.0,5.0,47106.8754254595
RAM 1500 2021 5.7L Laramie (Double Cab),5.7,8.0,395.0,175.0,5.0,47106.8754254595
Suzuki Swift Sport 2021 1.4L (140 HP),1.4,4.0,140.0,180.0,4.0,47106.8754254595
Suzuki Swift 2021 1.2L GL,1.2,4.0,82.0,165.0,5.0,17691.733333333334
BMW 6 Series Gran Turismo 2021 630i,2.0,4.0,258.0,250.0,5.0,97093.33333333333
Porsche Macan 2021 Turbo S,3.0,6.0,440.0,270.0,5.0,47106.8754254595
Chrysler Pacifica 2021 3.6L V6 Touring L Plus,3.6,6.0,355.0,211.0,11.0,47106.8754254595
GMC Sierra Denali 2021 6.2L Crew Cab (AWD),6.2,8.0,420.0,180.0,5.0,73493.33333333333
Porsche Macan 2021 Base,2.0,4.0,252.0,227.0,5.0,47106.8754254595
Suzuki Swift 2021 1.2L GLX,1.2,4.0,82.0,165.0,5.0,18522.666666666668
RAM 1500 2021 5.7L Rebel (Double Cab),5.7,8.0,395.0,175.0,5.0,67280.0
Borgward BX7 2021 2.0T AWD Ultimate (7-Seater),2.0,4.0,224.0,206.0,7.0,37664.0
Audi S3 Sedan 2021 2.0 TFSI quattro (290 HP),2.0,4.0,290.0,250.0,5.0,57346.666666666664
Kia Rio Hatchback 2021 1.4L MPI,1.4,4.0,100.0,180.0,5.0,14637.333333333334
Mini Clubman 2021 Cooper S ALL4,2.0,4.0,192.0,228.0,5.0,51333.333333333336
Chevrolet Bolt EV 2021 LT FWD,0.0,4.0,500.0,360.0,5.0,47106.8754254595
Kia Rio Hatchback 2021 1.6L MPI,1.6,4.0,123.0,190.0,5.0,16690.666666666668
Ford F-150 2021 3.5L EcoBoost Crew Cab Lariat (Luxury+Chrome Pack),3.5,4.0,365.0,160.0,5.0,47106.8754254595
Borgward BX7 2021 2.0T Elite FWD (7-Seater),2.0,4.0,224.0,206.0,7.0,35541.86666666667
Infiniti Q60 Coupe 2021 3.0T Premium,3.0,6.0,400.0,250.0,4.0,47106.8754254595
Peugeot 508 2021 1.6T GT Line,1.6,4.0,165.0,220.0,5.0,34666.666666666664
Suzuki Ciaz 2021 1.5L GL,1.5,4.0,103.0,165.0,5.0,14474.666666666666
Mini Clubman 2021 Cooper,1.5,4.0,136.0,205.0,5.0,42826.666666666664
Jeep Renegade 2021 2.4L Longitude 4x2,2.4,4.0,184.0,175.0,5.0,47106.8754254595
Ford F-150 2021 3.5L EcoBoost Crew Cab Lariat Special Edition,3.5,4.0,365.0,160.0,6.0,47106.8754254595
Ford F-150 2021 3.3L V6 Crew Cab XL,3.3,4.0,292.0,160.0,6.0,47106.8754254595
Porsche Panamera Sport Turismo 2021 4 E-Hybrid,2.9,6.0,462.0,275.0,5.0,153178.66666666666
Porsche Panamera Sport Turismo 2021 Turbo S E-Hybrid,4.0,8.0,680.0,310.0,5.0,265349.3333333333
Porsche Panamera Sport Turismo 2021 Turbo,4.0,8.0,550.0,304.0,5.0,225896.0
Porsche Panamera Sport Turismo 2021 GTS,4.0,8.0,460.0,289.0,5.0,185914.66666666666
Mercedes-Benz GLC Coupe 2021 AMG 43 4MATIC,3.0,4.0,367.0,250.0,5.0,90806.4
Mercedes-Benz GLC Coupe 2021 250 4MATIC,2.0,4.0,211.0,222.0,5.0,71164.26666666666
Alfa Romeo Giulia 2021 Super,2.0,4.0,330.0,211.0,6.0,46913.333333333336
Suzuki Ciaz 2021 1.5L GLX,1.5,4.0,104.0,165.0,5.0,17142.666666666668
Mercedes-Benz GLC Coupe 2021 300 4MATIC,2.0,4.0,245.0,236.0,5.0,78866.4
Chery Arrizo 3 2021 1.5L Comfort,1.5,4.0,107.0,175.0,5.0,11226.666666666666
Toyota Hiace 2021 3.5L GL STD Roof Panel Van (3-Seater),3.5,4.0,277.0,160.0,3.0,29041.333333333332
Porsche Panamera Sport Turismo 2021 4S,2.9,6.0,440.0,286.0,5.0,162477.33333333334
